id,binsize,name,file_path,value_type,dataset_id,intervals_id
76055,50000,a4bc5e54cac8417584e72adaa8a15742.npy,/code/temp/a4bc5e54cac8417584e72adaa8a15742.npy,ICCF,477,1566
76056,50000,60f16f638c694a75bf7c71e5931496e1.npy,/code/temp/60f16f638c694a75bf7c71e5931496e1.npy,Obs/Exp,477,1566
79154,200000,27883ddb494047219168747b75cba607_line.npy,/code/temp/27883ddb494047219168747b75cba607_line.npy,line,571,1566
79158,100000,292a75550a934d13a8e8fdc84fc9f203_line.npy,/code/temp/292a75550a934d13a8e8fdc84fc9f203_line.npy,line,571,1566
79160,50000,08e63e610f80445d96c6b8d3fc3d468d_line.npy,/code/temp/08e63e610f80445d96c6b8d3fc3d468d_line.npy,line,571,1566
79214,200000,5319a6bd25d344f7bfa43a526d8c8899_line.npy,/code/temp/5319a6bd25d344f7bfa43a526d8c8899_line.npy,line,573,1566
79216,100000,6ed722be9ec24155a719628c82157637_line.npy,/code/temp/6ed722be9ec24155a719628c82157637_line.npy,line,573,1566
79217,50000,d486afacc32f4123b1a1bd1ab0a9fb3e_line.npy,/code/temp/d486afacc32f4123b1a1bd1ab0a9fb3e_line.npy,line,573,1566
75557,5000,55cf2c130737425c92105db87c17cc1c.npy,/code/temp/55cf2c130737425c92105db87c17cc1c.npy,ICCF,146,1567
75560,5000,8ac09fdf2654434086c1a6028209796e.npy,/code/temp/8ac09fdf2654434086c1a6028209796e.npy,Obs/Exp,146,1567
75819,2000,c4857bba847447ef8a4b6518ea9ba2fe_line.npy,/code/temp/c4857bba847447ef8a4b6518ea9ba2fe_line.npy,line,10,1567
75826,1000,d34871e8b8ce447886842f8c0a8d6454_line.npy,/code/temp/d34871e8b8ce447886842f8c0a8d6454_line.npy,line,10,1567
75830,2000,054da53dd22c4623985d9ccc5b2775ec_line.npy,/code/temp/054da53dd22c4623985d9ccc5b2775ec_line.npy,line,11,1567
75837,1000,262e8f799d0a4e17bb7bf3166b3eb9a5_line.npy,/code/temp/262e8f799d0a4e17bb7bf3166b3eb9a5_line.npy,line,11,1567
75839,2000,21ba3166d07446d29260e9f8be2daad8_line.npy,/code/temp/21ba3166d07446d29260e9f8be2daad8_line.npy,line,18,1567
75849,2000,fd78b4ff31b3476e821db959d7659bc6_line.npy,/code/temp/fd78b4ff31b3476e821db959d7659bc6_line.npy,line,163,1567
75850,1000,656a40e97a694449ad2a5fc6e80c0eeb_line.npy,/code/temp/656a40e97a694449ad2a5fc6e80c0eeb_line.npy,line,18,1567
75852,2000,497a88df78e847639135d68254ee2ac2_line.npy,/code/temp/497a88df78e847639135d68254ee2ac2_line.npy,line,319,1567
75856,1000,ff9c82769ac947ce8b173a1603ca6cb9_line.npy,/code/temp/ff9c82769ac947ce8b173a1603ca6cb9_line.npy,line,319,1567
75857,2000,275b1635c5644314a978550b737445fb_line.npy,/code/temp/275b1635c5644314a978550b737445fb_line.npy,line,165,1567
75858,2000,7507173a6c50434ba066362a53a96490_line.npy,/code/temp/7507173a6c50434ba066362a53a96490_line.npy,line,320,1567
75860,1000,943ec43870974e6b874f32d24d2a2639_line.npy,/code/temp/943ec43870974e6b874f32d24d2a2639_line.npy,line,163,1567
75862,1000,78443424ed654975bb8f952fd1ec883e_line.npy,/code/temp/78443424ed654975bb8f952fd1ec883e_line.npy,line,320,1567
75863,2000,9e6ae32ee62343348ba1d5531c662bc8_line.npy,/code/temp/9e6ae32ee62343348ba1d5531c662bc8_line.npy,line,460,1567
75868,1000,83c51fc1a1c24bc8b799a922a8d88d51_line.npy,/code/temp/83c51fc1a1c24bc8b799a922a8d88d51_line.npy,line,165,1567
